City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
8,Bengkulu,ID,75.24,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
10,Avarua,CK,78.85,scattered clouds,-21.2078,-159.775,Paradise Inn
11,Riyadh,SA,77.14,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
16,Isangel,VU,82.51,overcast clouds,-19.55,169.2667,Tanna Lodge
18,Atuona,PF,77.92,clear sky,-9.8,-139.0333,Villa Enata
21,Dingle,PH,75.81,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
24,Georgetown,MY,80.24,few clouds,5.4112,100.3354,Cititel Penang
25,Hithadhoo,MV,80.64,scattered clouds,-0.6,73.0833,Scoop Guest House
27,Labuan,MY,79.16,few clouds,5.2767,115.2417,Tiara Labuan Hotel
28,Tuburan,PH,80.83,overcast clouds,6.6439,122.2736,GT Site
32,Vaini,TO,78.96,few clouds,-21.2,-175.2,Keleti Beach Resort
34,Mecca,SA,78.94,broken clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
40,Nanakuli,US,82.35,clear sky,21.3906,-158.1547,Camp Pālehua
44,Thinadhoo,MV,81.03,broken clouds,0.5333,72.9333,
45,Eyl,SO,78.35,clear sky,7.9803,49.8164,EYL AQUE SYSTEM
50,Arraial Do Cabo,BR,75.16,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
51,Sao Felix Do Xingu,BR,76.3,moderate rain,-6.6447,-51.995,Rio Xingu Camping
59,Providencia,MX,78.42,clear sky,28.7167,-111.5833,
62,Pala,TD,76.3,broken clouds,9.3642,14.9046,Hotel Pala Palace
67,San Cristobal,VE,77.18,broken clouds,7.7669,-72.225,Pirineos
69,Kapaa,US,79.12,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
70,Port Blair,IN,75.24,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
71,Kavieng,PG,82.09,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
81,Wanning,CN,75.81,scattered clouds,18.8003,110.3967,Paradise Hotel
89,Puerto Ayora,EC,76.96,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
90,Hilo,US,80.33,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
93,Butaritari,KI,80.87,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
95,Ugoofaaru,MV,80.02,scattered clouds,5.6667,73.0,Ungoofaaru Inn
96,Lagos,NG,82.72,clear sky,6.5833,3.75,
99,Maceio,BR,81.84,few clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
100,Hirara,JP,77.38,light rain,24.8,125.2833,Hotel Atoll Emerald Miyakojima
108,Sao Filipe,CV,77.74,scattered clouds,14.8961,-24.4956,Hotel Xaguate
113,Paragominas,BR,81.81,broken clouds,-2.9667,-47.4833,INOVA
118,Kieta,PG,81.05,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
121,Dhidhdhoo,MV,80.58,few clouds,6.8833,73.1,Dhidhoo beach
125,Alyangula,AU,83.19,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
131,Lazaro Cardenas,MX,84.04,clear sky,17.9583,-102.2,HOTEL QUINTA ANTIGUA
132,Port Moresby,PG,78.22,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
142,Kampot,KH,78.85,broken clouds,10.6167,104.1833,Two Moons Hotel
144,Atambua,ID,75.43,overcast clouds,-9.1061,124.8925,Ros Muskanan
145,Itarema,BR,79.47,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
147,Cayenne,GF,86.04,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
148,Charters Towers,AU,75.74,broken clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
150,Porto Velho,BR,77.05,thunderstorm with heavy rain,-8.7619,-63.9039,Ecos Hotel Conforto
152,Vanimo,PG,77.23,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
156,Innisfail,AU,77.63,clear sky,-17.5333,146.0333,Moondarra Motel
157,Alofi,NU,80.49,scattered clouds,-19.0595,-169.9187,Taloa Heights
175,Adrar,MR,77.88,clear sky,20.5022,-10.0711,
183,Mumford,GH,78.75,light rain,5.2618,-0.759,Peace Guest House
188,Caravelas,BR,75.15,moderate rain,-17.7125,-39.2481,Pousada dos Navegantes
193,Mandiana,GN,78.96,overcast clouds,10.6333,-8.6833,Centre d'accueil de Mandiana
198,Faanui,PF,79.02,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
199,Bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
200,Alice Town,BS,78.75,clear sky,25.7167,-79.3,Bimini Big Game Club Resort & Marina
203,Catuday,PH,77.92,scattered clouds,16.2923,119.8062,Benjie's Kubo & Cottages
206,Acapulco,MX,87.62,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
208,Oranjestad,AW,85.95,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
209,Sabang,ID,80.69,overcast clouds,5.8933,95.3214,Hotel Citra
215,Kyabe,TD,78.51,overcast clouds,9.4515,18.9449,
220,Biltine,TD,75.02,few clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
223,Sattahip,TH,82.98,mist,12.6664,100.9007,Pob Choke Residences ( พบโชคเรดซิเด้นท์ )
225,Namatanai,PG,80.65,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
227,Padang,ID,75.11,light rain,-0.9492,100.3543,Mercure Padang
228,Salalah,OM,77.09,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
229,Bambanglipuro,ID,76.39,overcast clouds,-7.95,110.2833,Puri Brata
232,Lahaina,US,82.4,broken clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
233,Nouadhibou,MR,80.58,clear sky,20.931,-17.0347,El Medina
234,Cabo San Lucas,MX,83.61,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
248,Morondava,MG,79.9,clear sky,-20.2833,44.2833,La Case Bambou
255,Kahului,US,82.42,few clouds,20.8947,-156.47,Maui Seaside Hotel
258,Latung,PH,81.37,heavy intensity rain,5.5,120.8833,
259,Praya,CV,79.34,few clouds,14.9215,-23.5087,LT Aparthotel
260,Tautira,PF,77.31,overcast clouds,-17.7333,-149.15,Pension Oaoa
261,Indiaroba,BR,76.46,broken clouds,-11.5192,-37.5117,Pura Vida Bahia
262,Bandarbeyla,SO,78.4,clear sky,9.4942,50.8122,JABIR HOTEL
268,Victoria,HK,75.38,overcast clouds,22.2855,114.1577,Mini Central
270,Saint-Louis,SN,89.94,clear sky,16.3333,-15.0,
274,Mogadishu,SO,79.32,clear sky,2.0371,45.3438,Hotel Juba
285,Igboho,NG,75.76,clear sky,8.8333,3.75,More Hotet LTD
290,Porto Novo,BJ,84.02,clear sky,6.4965,2.6036,Tour Eiffel Hotel Benin
291,Bitung,ID,76.05,overcast clouds,1.4451,125.1824,K2 Lembeh
300,Arriaga,MX,87.98,broken clouds,16.2333,-93.9,HOTEL IO
303,Progreso,MX,85.1,light rain,21.2833,-89.6667,Playa Linda Hotel
304,Salinopolis,BR,80.87,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
310,Atar,MR,80.08,few clouds,20.5169,-13.0499,Oumou Elghoura
311,Sao Gabriel Da Cachoeira,BR,82.26,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
313,Fare,PF,78.51,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
315,Harper,LR,78.08,few clouds,4.375,-7.7169,Screensaver
317,Chiredzi,ZW,75.18,clear sky,-21.05,31.6667,Clevers Hotel Chiredzi
332,Utinga,BR,81.45,few clouds,-5.8172,-35.3954,Espaço de Lazer Érica Fernandes
334,Sechura,PE,76.39,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
343,Pozo Colorado,PY,86.34,clear sky,-23.4923,-58.7972,Hospedaje La Norteña
356,Balabac,PH,81.72,overcast clouds,7.9868,117.0645,Batalla’s Lodging House
360,Axim,GH,78.06,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
361,Dubai,AE,82.33,clear sky,25.2582,55.3047,"Radisson Blu Hotel, Dubai Deira Creek"
366,Bata,GQ,77.05,light rain,1.8639,9.7658,Hotel Elik Melen
376,Waw,SS,78.12,scattered clouds,7.7029,27.9953,Universal Gab Hotel
377,Nioro,GM,83.28,broken clouds,13.35,-15.75,
384,Hobyo,SO,80.26,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
387,Sao Joao Da Barra,BR,75.29,light rain,-21.6403,-41.0511,Pousada Porto De Canoas
399,Road Town,VG,84.29,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
404,Takoradi,GH,78.62,clear sky,4.8845,-1.7554,Raybow International Hotel
406,Grand-Lahou,CI,78.19,overcast clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
412,Parintins,BR,87.94,overcast clouds,-2.6283,-56.7358,Cama e Cafe
413,Abeche,TD,75.13,scattered clouds,13.8292,20.8324,Assaleh Hamdan Haroune
415,Celestun,MX,82.51,light rain,20.8667,-90.4,Posada Lilia
424,Coruripe,BR,77.45,broken clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
425,Male,MV,78.75,broken clouds,4.1748,73.5089,Hotel Octave Maldives
427,Ati,TD,78.57,scattered clouds,13.2154,18.3353,
430,Ukiah,US,75.36,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
434,Bonthe,SL,78.1,scattered clouds,7.5264,-12.505,Bonthe Holiday Village
436,Nkowakowa,ZA,79.03,scattered clouds,-23.8878,30.2871,Moytel 966A Guest House & Spa
440,Gigmoto,PH,80.56,overcast clouds,13.7796,124.39,Cj's Travellers Inn
441,Touros,BR,79.41,clear sky,-5.1989,-35.4608,INN NEW HORIZON
444,Iquitos,PE,78.84,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
450,Buala,SB,82.15,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
451,Acajutla,SV,85.98,broken clouds,13.5928,-89.8275,CASA DE LA PERRA
454,Gweta,BW,81.66,clear sky,-20.1833,25.2333,Gweta Lodge
455,Loandjili,CG,76.82,overcast clouds,-4.7561,11.8578,Résidence ARCHANGE
456,Waingapu,ID,80.46,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
461,Tabou,CI,77.97,clear sky,4.423,-7.3528,hotêl doufoulougou
467,Sorong,ID,78.89,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
468,Pandan,PH,79.79,broken clouds,14.0453,124.1694,Bonifacio Lodge
469,Santa Clara,CU,81.45,broken clouds,22.4,-79.9667,El Carmen
470,Morant Bay,JM,85.62,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
473,Anloga,GH,81.64,scattered clouds,5.7947,0.8973,Pin Drop Hotel
479,Sola,VU,77.67,few clouds,-13.8833,167.55,Leumerus Bungalows
480,Hambantota,LK,77.04,overcast clouds,6.1241,81.1185,Bungalow 63
483,Kirakira,SB,82.09,broken clouds,-10.4544,161.9205,SanBiz Lodge
491,Poum,NC,78.67,overcast clouds,-20.2333,164.0167,
492,Cockburn Town,TC,82.02,clear sky,21.4612,-71.1419,Osprey Beach Hotel
501,Diego De Almagro,CL,77.27,clear sky,-26.3667,-70.05,hotel luna del desierto
503,Kroya,ID,76.91,overcast clouds,-7.6331,109.2461,Wisma Legoq Kost
509,George Town,MY,80.24,few clouds,5.4112,100.3354,Cititel Penang
510,Kudahuvadhoo,MV,81.16,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
513,Sinnamary,GF,80.65,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
518,Maragogi,BR,77.38,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
519,Banda Aceh,ID,78.22,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
525,Bairiki,KI,82.4,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
528,Tarangnan,PH,77.41,overcast clouds,11.9009,124.7459,Rainbow Resort (Pools and Recreation)
529,Mapiripan,CO,80.82,overcast clouds,2.8892,-72.1256,Monserrate
533,Port-Gentil,GA,75.16,light rain,-0.7193,8.7815,Fengshui Residence
535,Kilindoni,TZ,79.3,clear sky,-7.9139,39.6668,Bustani B&B
540,Camocim,BR,80.19,clear sky,-2.9022,-40.8411,Ilha Praia Hotel
544,Lorengau,PG,81.46,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
545,Cozumel,MX,87.08,clear sky,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
547,Ternate,ID,80.4,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
548,Morros,BR,76.15,moderate rain,-9.4467,-46.3003,
549,Prado,BR,76.55,light rain,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
550,Acarau,BR,79.77,few clouds,-2.8856,-40.12,castelo pizzaria
551,Taoudenni,ML,76.28,clear sky,22.6783,-3.9836,
556,Pho Chai,TH,78.1,broken clouds,16.3283,103.7703,ก๊อฟคุงยางมือสอง
558,Vao,NC,75.97,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
562,Makakilo City,US,81.68,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
565,Guarabira,BR,78.8,few clouds,-6.8547,-35.49,Victor's Center Hotel
566,Monrovia,LR,78.4,light rain,6.3005,-10.7969,Sunset Inn
569,Sao Borja,BR,86.95,clear sky,-28.6606,-56.0044,Hotel Executivo
571,Robertsport,LR,79.63,broken clouds,6.7533,-11.3686,Kwepunha Retreat
574,Abaetetuba,BR,80.62,overcast clouds,-1.7181,-48.8825,Hotel Joanayna
576,Dovers,VC,81.99,overcast clouds,12.8833,-61.1833,Ocean Breeze
579,Olinda,BR,80.33,few clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
583,Kantunilkin,MX,83.05,light rain,21.0917,-87.45,Posada Paraiso
587,Turbat,PK,75.74,clear sky,26.0023,63.044,Mubashar Quarters
588,Lamu,KE,78.31,overcast clouds,-2.2717,40.902,Lamu House
591,Bubaque,GW,81.82,moderate rain,11.2833,-15.8333,"Casa Dora, Bubaque"
595,Merauke,ID,80.29,overcast clouds,-8.4667,140.3333,
596,Kita,ML,78.53,broken clouds,13.0349,-9.4895,Hôtel Chat Rouge
597,Abu Dhabi,AE,80.71,clear sky,24.4667,54.3667,Beach Rotana
605,Tibu,CO,83.07,broken clouds,8.639,-72.7358,Hotel Yuliana's
606,Cabedelo,BR,81.27,clear sky,-6.9811,-34.8339,Pousada Camboinha
609,General Roca,AR,88.63,broken clouds,-39.0333,-67.5833,Hotel El Recreo
610,Black River,JM,83.59,broken clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
614,Aripuana,BR,85.44,overcast clouds,-9.1667,-60.6333,
615,Ha Noi,VN,77.0,clear sky,21.0245,105.8412,Hotel du Parc HaNoi
619,Villa Del Rosario,CO,82.78,scattered clouds,7.8339,-72.4742,Hotel Villas de San Diego
620,Santa Rosa,PH,78.78,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
623,Illapel,CL,78.01,clear sky,-31.6308,-71.1653,Hotel Londres
627,Carutapera,BR,79.92,overcast clouds,-1.195,-46.02,Lidera
632,Satapuala,WS,83.86,broken clouds,-13.8354,-171.9796,Transit Motel
633,Bodden Town,KY,87.8,few clouds,19.2833,-81.25,Will T Place
634,Mitsamiouli,KM,77.95,overcast clouds,-11.3847,43.2844,Foyer ADM
642,Port Keats,AU,79.14,scattered clouds,-14.25,129.55,Kardu Durrikardu Numida Hostel
644,Novo Aripuana,BR,85.1,overcast clouds,-5.1206,-60.3797,Hotel Ezequiel
659,Noumea,NC,80.01,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
663,Bitkine,TD,78.12,broken clouds,11.9801,18.2138,
665,Portobelo,PA,81.1,moderate rain,9.55,-79.65,Scuba Portobelo
666,Labuhan,ID,79.12,overcast clouds,-6.8844,112.2051,DoubleFAG
668,Kapoeta,SS,81.1,broken clouds,4.7717,33.5903,Lokoges PHCC
679,Gurupa,BR,87.24,overcast clouds,-1.405,-51.64,Hotel Vitória
693,Kailua,US,83.14,broken clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
